Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.5595542929,61664910393.24937,0.5010881990728187
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102589,15081376466.559586,0.8779812271613102
PolynomialRegression,82894.44754893737,10604968576.361347,0.9141984649378844
SGDRegressor,2.2681150501388995e+18,5.3059263503332777e+36,-4.292861619598748e+25
ANN,199363.9086071709,61475105802.977486,0.5026238495643689
RandomForest,98361.0912129613,14896388125.256615,0.8794779108655665
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
